com.samsung.shealth.step_daily_trend,6262003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
627b2d74-681e-42a7-8e4e-53aa5a436f30.binning_data.json,2021-11-25 00:00:00.813,2021-11-25 00:00:00.813,com.sec.android.app.shealth,0,7090,1.5620298,5621.316,333.40826,PuK0nF5N0H,com.sec.android.app.shealth,627b2d74-681e-42a7-8e4e-53aa5a436f30,1637712000000,
39b5a48c-9d07-44d6-9a04-14bbcd09a93a.binning_data.json,2021-11-25 00:00:01.707,2021-11-25 00:00:01.707,com.sec.android.app.shealth,102,11559,1.5864624,9163.453,603.9418,wQNR8pXUUr,com.sec.android.app.shealth,39b5a48c-9d07-44d6-9a04-14bbcd09a93a,1637712000000,
0039af5b-ed7c-42b5-80dd-f61d9c36cb15.binning_data.json,2021-11-27 00:07:17.831,2021-11-25 00:22:39.696,com.sec.android.app.shealth,-2,8624,1.4594263,6716.201,415.847,VfS0qUERdZ,com.sec.android.app.shealth,0039af5b-ed7c-42b5-80dd-f61d9c36cb15,1637798400000,
4d167566-c2b3-4029-8a92-532bb5b013ef.binning_data.json,2021-11-26 00:00:02.267,2021-11-26 00:00:02.267,com.sec.android.app.shealth,0,5816,1.4942201,4578.4526,271.8372,PuK0nF5N0H,com.sec.android.app.shealth,4d167566-c2b3-4029-8a92-532bb5b013ef,1637798400000,
7b041d1a-6dee-4999-8505-ab062b917602.binning_data.json,2021-11-27 00:00:02.942,2021-11-26 00:00:03.325,com.sec.android.app.shealth,102,7840,1.4523585,6072.496,392.6804,wQNR8pXUUr,com.sec.android.app.shealth,7b041d1a-6dee-4999-8505-ab062b917602,1637798400000,
ceeeb31d-bf06-41ba-8238-d85f77e69676.binning_data.json,2021-11-28 02:05:53.654,2021-11-26 00:03:08.514,com.sec.android.app.shealth,-2,7722,1.5933982,6143.1865,413.83844,VfS0qUERdZ,com.sec.android.app.shealth,ceeeb31d-bf06-41ba-8238-d85f77e69676,1637884800000,
6f5a009e-b448-4ab5-9efb-7d1d39d8b651.binning_data.json,2021-11-27 00:00:02.180,2021-11-27 00:00:02.180,com.sec.android.app.shealth,0,3146,1.5101801,2478.9058,146.7078,PuK0nF5N0H,com.sec.android.app.shealth,6f5a009e-b448-4ab5-9efb-7d1d39d8b651,1637884800000,
e49c4fa6-7ff6-461c-abd0-b552e571ef9a.binning_data.json,2021-11-28 00:53:42.245,2021-11-27 00:00:02.928,com.sec.android.app.shealth,102,7302,1.5956241,5805.5347,400.38065,wQNR8pXUUr,com.sec.android.app.shealth,e49c4fa6-7ff6-461c-abd0-b552e571ef9a,1637884800000,
898db40e-47b6-4c06-9eb7-c1228e815743.binning_data.json,2021-11-28 02:05:53.639,2021-11-27 10:29:03.781,com.sec.android.app.shealth,-2,9575,1.5111668,7495.6377,459.80966,VfS0qUERdZ,com.sec.android.app.shealth,898db40e-47b6-4c06-9eb7-c1228e815743,1637971200000,
50902637-ab3d-4de2-9b7a-22572eab8129.binning_data.json,2021-11-28 00:53:41.770,2021-11-28 00:53:41.770,com.sec.android.app.shealth,0,6362,1.5108207,5011.6084,294.36758,PuK0nF5N0H,com.sec.android.app.shealth,50902637-ab3d-4de2-9b7a-22572eab8129,1637971200000,
9822a07f-1e27-4e26-998f-cb0ac69e09e7.binning_data.json,2021-11-29 00:00:03.145,2021-11-28 00:53:42.251,com.sec.android.app.shealth,102,9118,1.4901391,7107.733,452.9401,wQNR8pXUUr,com.sec.android.app.shealth,9822a07f-1e27-4e26-998f-cb0ac69e09e7,1637971200000,
8f169be2-aaf0-42ff-86fe-b875de211fdf.binning_data.json,2021-11-29 00:28:37.330,2021-11-28 02:05:53.507,com.sec.android.app.shealth,-2,6086,1.46498,4728.4795,288.80423,VfS0qUERdZ,com.sec.android.app.shealth,8f169be2-aaf0-42ff-86fe-b875de211fdf,1638057600000,
4e9b2ba8-9997-4f25-9e77-dba92cb18b0a.binning_data.json,2021-11-29 00:00:02.210,2021-11-29 00:00:02.210,com.sec.android.app.shealth,0,3635,1.5002208,2861.661,168.02798,PuK0nF5N0H,com.sec.android.app.shealth,4e9b2ba8-9997-4f25-9e77-dba92cb18b0a,1638057600000,
b0974590-0905-477d-9931-7d448e200a65.binning_data.json,2021-11-30 00:00:01.570,2021-11-29 00:00:03.145,com.sec.android.app.shealth,102,5859,1.4386524,4531.1304,286.9105,wQNR8pXUUr,com.sec.android.app.shealth,b0974590-0905-477d-9931-7d448e200a65,1638057600000,
a6d37610-2939-48af-8c7a-d874eeeb9d36.binning_data.json,2021-11-29 21:21:15.737,2021-11-29 01:03:50.993,com.sec.android.app.shealth,-2,11801,1.8226854,9935.62,753.0314,VfS0qUERdZ,com.sec.android.app.shealth,a6d37610-2939-48af-8c7a-d874eeeb9d36,1638144000000,
b1bebe93-60f0-4ef6-8524-d9481c1b6d24.binning_data.json,2021-11-29 17:21:03.223,2021-11-29 17:21:03.223,com.sec.android.app.shealth,0,2285,1.5581222,1813.6385,105.50669,PuK0nF5N0H,com.sec.android.app.shealth,b1bebe93-60f0-4ef6-8524-d9481c1b6d24,1638144000000,
7e242076-f83e-4d60-806e-2efeb4409d94.binning_data.json,2021-11-30 00:00:01.608,2021-11-30 00:00:01.608,com.sec.android.app.shealth,102,11547,1.82369,9709.514,744.5528,wQNR8pXUUr,com.sec.android.app.shealth,7e242076-f83e-4d60-806e-2efeb4409d94,1638144000000,
5ea80518-ad37-4137-87cc-5db9cdbfd540.binning_data.json,2021-11-30 22:39:03.502,2021-11-30 10:43:05.388,com.sec.android.app.shealth,-2,6290,1.4448241,4882.728,300.16818,VfS0qUERdZ,com.sec.android.app.shealth,5ea80518-ad37-4137-87cc-5db9cdbfd540,1638230400000,
37338aba-f403-4d27-be1e-13ad4a68e0bf.binning_data.json,2021-12-01 00:00:01.597,2021-12-01 00:00:01.597,com.sec.android.app.shealth,0,3396,1.4603869,2676.912,156.62262,PuK0nF5N0H,com.sec.android.app.shealth,37338aba-f403-4d27-be1e-13ad4a68e0bf,1638230400000,
93fc4da0-fc47-4ea8-851f-9442f156261b.binning_data.json,2021-12-01 00:00:02.626,2021-12-01 00:00:02.626,com.sec.android.app.shealth,102,4776,1.4401735,3670.6218,242.92877,wQNR8pXUUr,com.sec.android.app.shealth,93fc4da0-fc47-4ea8-851f-9442f156261b,1638230400000,
72544323-b722-4a47-98a4-ed17a4a2e918.binning_data.json,2021-12-02 10:34:12.243,2021-12-01 02:47:17.582,com.sec.android.app.shealth,-2,7807,1.5082312,6070.1167,371.91458,VfS0qUERdZ,com.sec.android.app.shealth,72544323-b722-4a47-98a4-ed17a4a2e918,1638316800000,
d10b76ff-1d02-4b1d-a53e-c9db249d7e4e.binning_data.json,2021-12-02 00:00:03.858,2021-12-02 00:00:03.858,com.sec.android.app.shealth,0,5250,1.5585363,4145.0137,242.07776,PuK0nF5N0H,com.sec.android.app.shealth,d10b76ff-1d02-4b1d-a53e-c9db249d7e4e,1638316800000,
03d68089-589b-410e-ad09-ec2107faf22b.binning_data.json,2021-12-03 00:00:01.832,2021-12-02 00:00:04.897,com.sec.android.app.shealth,102,7443,1.4934466,5752.59,366.48,wQNR8pXUUr,com.sec.android.app.shealth,03d68089-589b-410e-ad09-ec2107faf22b,1638316800000,
181bdf0a-e0e4-4e1c-8831-4d13509c6a36.binning_data.json,2021-12-03 09:21:59.016,2021-12-02 01:21:33.839,com.sec.android.app.shealth,-2,2465,1.4766282,1921.2178,115.39438,VfS0qUERdZ,com.sec.android.app.shealth,181bdf0a-e0e4-4e1c-8831-4d13509c6a36,1638403200000,
c2b34a15-cfd3-411e-8195-5c2978c036eb.binning_data.json,2021-12-03 00:00:00.909,2021-12-03 00:00:00.909,com.sec.android.app.shealth,0,1570,1.4731532,1238.6958,73.05906,PuK0nF5N0H,com.sec.android.app.shealth,c2b34a15-cfd3-411e-8195-5c2978c036eb,1638403200000,
6f551f1a-caf4-4787-87be-ae6eb337c3af.binning_data.json,2021-12-04 00:00:01.955,2021-12-03 00:00:01.842,com.sec.android.app.shealth,102,2229,1.497345,1722.14,105.91,wQNR8pXUUr,com.sec.android.app.shealth,6f551f1a-caf4-4787-87be-ae6eb337c3af,1638403200000,
fe4fedf5-b5a3-4a26-abec-6e8298682c7d.binning_data.json,2021-12-04 09:55:19.260,2021-12-03 00:08:05.724,com.sec.android.app.shealth,-2,6966,1.5201625,5465.556,330.6019,VfS0qUERdZ,com.sec.android.app.shealth,fe4fedf5-b5a3-4a26-abec-6e8298682c7d,1638489600000,
692913d5-e0bc-417d-842f-40fd3869137d.binning_data.json,2021-12-04 00:00:01.069,2021-12-04 00:00:01.069,com.sec.android.app.shealth,0,4293,1.5969871,3455.5042,206.64151,PuK0nF5N0H,com.sec.android.app.shealth,692913d5-e0bc-417d-842f-40fd3869137d,1638489600000,
42a10315-72ba-4d7a-abe3-ed3c9cf87467.binning_data.json,2021-12-05 00:00:04.543,2021-12-04 00:00:01.942,com.sec.android.app.shealth,102,6715,1.4805505,5179.7124,330.3396,wQNR8pXUUr,com.sec.android.app.shealth,42a10315-72ba-4d7a-abe3-ed3c9cf87467,1638489600000,
42b4f44f-aa4b-4c59-8d0d-b4e4bc1c03eb.binning_data.json,2021-12-04 22:56:20.467,2021-12-04 01:06:36.424,com.sec.android.app.shealth,-2,10743,1.4174913,8272.885,510.5752,VfS0qUERdZ,com.sec.android.app.shealth,42b4f44f-aa4b-4c59-8d0d-b4e4bc1c03eb,1638576000000,
47ca1341-7d3e-4f2b-8c3c-4646b0dc7217.binning_data.json,2021-12-05 00:00:03.209,2021-12-05 00:00:03.209,com.sec.android.app.shealth,0,6847,1.4499365,5340.629,316.76984,PuK0nF5N0H,com.sec.android.app.shealth,47ca1341-7d3e-4f2b-8c3c-4646b0dc7217,1638576000000,
9bb0bc60-b5d2-4b30-858b-960022f00624.binning_data.json,2021-12-05 00:00:04.622,2021-12-05 00:00:04.622,com.sec.android.app.shealth,102,10218,1.4016429,7809.2783,505.70865,wQNR8pXUUr,com.sec.android.app.shealth,9bb0bc60-b5d2-4b30-858b-960022f00624,1638576000000,
adfb520c-6c5b-434d-aee3-0957fd09ca5d.binning_data.json,2021-12-06 02:27:43.969,2021-12-05 03:01:11.139,com.sec.android.app.shealth,-2,7534,1.4563556,5828.6855,356.6059,VfS0qUERdZ,com.sec.android.app.shealth,adfb520c-6c5b-434d-aee3-0957fd09ca5d,1638662400000,
e396c25f-2a83-43e5-897a-80d4aa670acf.binning_data.json,2021-12-06 00:00:02.414,2021-12-06 00:00:02.414,com.sec.android.app.shealth,0,5219,1.4569492,4078.1233,241.56847,PuK0nF5N0H,com.sec.android.app.shealth,e396c25f-2a83-43e5-897a-80d4aa670acf,1638662400000,
f4994c6f-f27f-416b-9bf9-bc2ac14ebede.binning_data.json,2021-12-07 00:00:02.261,2021-12-06 00:00:03.558,com.sec.android.app.shealth,102,7150,1.4403971,5491.5215,346.91876,wQNR8pXUUr,com.sec.android.app.shealth,f4994c6f-f27f-416b-9bf9-bc2ac14ebede,1638662400000,
3d83938d-e03f-4397-9b69-38746504a725.binning_data.json,2021-12-06 23:38:41.958,2021-12-06 00:09:32.506,com.sec.android.app.shealth,-2,7013,1.486776,5450.0537,330.26474,VfS0qUERdZ,com.sec.android.app.shealth,3d83938d-e03f-4397-9b69-38746504a725,1638748800000,
a9ddab26-a044-4921-939b-879f0c20bdaf.binning_data.json,2021-12-07 00:00:01.187,2021-12-07 00:00:01.187,com.sec.android.app.shealth,0,5301,1.5372686,4173.468,242.53423,PuK0nF5N0H,com.sec.android.app.shealth,a9ddab26-a044-4921-939b-879f0c20bdaf,1638748800000,
672ecb9f-7d0d-4900-ba1e-5e3a73107501.binning_data.json,2021-12-07 00:00:02.270,2021-12-07 00:00:02.270,com.sec.android.app.shealth,102,5966,1.4422235,4579.398,287.95966,wQNR8pXUUr,com.sec.android.app.shealth,672ecb9f-7d0d-4900-ba1e-5e3a73107501,1638748800000,
4ca88e57-89aa-49c9-9d58-ea3e50c30f2b.binning_data.json,2021-12-08 00:43:53.533,2021-12-07 00:23:42.103,com.sec.android.app.shealth,-2,8267,1.4642903,6408.8496,400.87976,VfS0qUERdZ,com.sec.android.app.shealth,4ca88e57-89aa-49c9-9d58-ea3e50c30f2b,1638835200000,
2cdf2580-6e83-46ce-8d65-517b44b668b4.binning_data.json,2021-12-08 00:00:00.962,2021-12-08 00:00:00.962,com.sec.android.app.shealth,0,5981,1.4756048,4687.3604,276.44055,PuK0nF5N0H,com.sec.android.app.shealth,2cdf2580-6e83-46ce-8d65-517b44b668b4,1638835200000,
41101078-5206-40af-9e20-3279350efe76.binning_data.json,2021-12-09 00:00:03.607,2021-12-08 00:00:01.964,com.sec.android.app.shealth,102,7775,1.4462317,5980.3247,389.59897,wQNR8pXUUr,com.sec.android.app.shealth,41101078-5206-40af-9e20-3279350efe76,1638835200000,
ff1f7947-ed0c-48f4-bb17-eaf5a527bae3.binning_data.json,2021-12-09 09:40:20.722,2021-12-08 01:34:21.855,com.sec.android.app.shealth,-2,8666,1.4704924,6718.497,410.3799,VfS0qUERdZ,com.sec.android.app.shealth,ff1f7947-ed0c-48f4-bb17-eaf5a527bae3,1638921600000,
6653beeb-704c-4e1e-be4d-234a88e356b7.binning_data.json,2021-12-09 00:00:02.451,2021-12-09 00:00:02.451,com.sec.android.app.shealth,0,6232,1.511613,4898.272,287.23373,PuK0nF5N0H,com.sec.android.app.shealth,6653beeb-704c-4e1e-be4d-234a88e356b7,1638921600000,
0205f9fc-4772-4960-adae-6834926c64ed.binning_data.json,2021-12-10 00:00:03.033,2021-12-09 00:00:03.651,com.sec.android.app.shealth,102,8372,1.4413968,6434.56,405.73,wQNR8pXUUr,com.sec.android.app.shealth,0205f9fc-4772-4960-adae-6834926c64ed,1638921600000,
dec494ee-f288-4c2d-b07a-303ddf4772f1.binning_data.json,2021-12-10 08:52:35.034,2021-12-09 01:19:09.324,com.sec.android.app.shealth,-2,2510,1.6048341,1982.6672,130.39977,VfS0qUERdZ,com.sec.android.app.shealth,dec494ee-f288-4c2d-b07a-303ddf4772f1,1639008000000,
28a4f8af-d7cf-4fa9-b0db-a00912957fd1.binning_data.json,2021-12-10 00:00:02.039,2021-12-10 00:00:02.039,com.sec.android.app.shealth,0,829,1.3626653,642.5591,38.553604,PuK0nF5N0H,com.sec.android.app.shealth,28a4f8af-d7cf-4fa9-b0db-a00912957fd1,1639008000000,
cb189ae7-09d5-47c7-8b54-c245b837baac.binning_data.json,2021-12-11 00:00:01.807,2021-12-10 00:00:03.007,com.sec.android.app.shealth,102,2358,1.6084843,1858.68,123.9,wQNR8pXUUr,com.sec.android.app.shealth,cb189ae7-09d5-47c7-8b54-c245b837baac,1639008000000,
8a44e308-16ba-4311-8f07-5ad0d01de2f3.binning_data.json,2021-12-11 00:20:19.814,2021-12-10 02:00:15.353,com.sec.android.app.shealth,-2,7834,1.5685633,6189.3916,372.6173,VfS0qUERdZ,com.sec.android.app.shealth,8a44e308-16ba-4311-8f07-5ad0d01de2f3,1639094400000,
37ca0de9-9e5a-49c1-bd53-52284030f758.binning_data.json,2021-12-11 00:03:38.453,2021-12-11 00:00:00.833,com.sec.android.app.shealth,0,5943,1.5967945,4779.413,283.4994,PuK0nF5N0H,com.sec.android.app.shealth,37ca0de9-9e5a-49c1-bd53-52284030f758,1639094400000,
577a6835-9cf0-4d53-849d-6c8690dde66e.binning_data.json,2021-12-12 00:00:07.441,2021-12-11 00:00:01.818,com.sec.android.app.shealth,102,6344,1.4804372,4885.96,307.59,wQNR8pXUUr,com.sec.android.app.shealth,577a6835-9cf0-4d53-849d-6c8690dde66e,1639094400000,
4df4646a-1652-413f-a6db-c8c916a61743.binning_data.json,2021-12-11 23:53:03.367,2021-12-11 00:03:17.896,com.sec.android.app.shealth,-2,8125,1.4776043,6323.3804,384.29593,VfS0qUERdZ,com.sec.android.app.shealth,4df4646a-1652-413f-a6db-c8c916a61743,1639180800000,
5aed0842-bac3-4fc8-bcd8-1420be5bd1fc.binning_data.json,2021-12-12 00:00:02.169,2021-12-11 00:03:38.450,com.sec.android.app.shealth,0,6043,1.499361,4766.393,280.72,PuK0nF5N0H,com.sec.android.app.shealth,5aed0842-bac3-4fc8-bcd8-1420be5bd1fc,1639180800000,
5714e4bd-f48b-46dc-91c6-2c51a82d24ad.binning_data.json,2021-12-12 00:00:07.426,2021-12-12 00:00:07.426,com.sec.android.app.shealth,102,7376,1.4601531,5683.51,351.9,wQNR8pXUUr,com.sec.android.app.shealth,5714e4bd-f48b-46dc-91c6-2c51a82d24ad,1639180800000,
9d735e40-a3a6-407c-a1d2-e1d81c8026b6.binning_data.json,2021-12-13 00:52:24.108,2021-12-12 00:31:42.668,com.sec.android.app.shealth,-2,7117,1.4461826,5506.742,339.8391,VfS0qUERdZ,com.sec.android.app.shealth,9d735e40-a3a6-407c-a1d2-e1d81c8026b6,1639267200000,
5fb86db7-de78-4138-91a8-87b5797f3bad.binning_data.json,2021-12-13 00:00:00.963,2021-12-13 00:00:00.963,com.sec.android.app.shealth,0,4796,1.4645733,3760.2778,225.18112,PuK0nF5N0H,com.sec.android.app.shealth,5fb86db7-de78-4138-91a8-87b5797f3bad,1639267200000,
dd14c467-43a4-4cce-9f79-6d42ac419ac9.binning_data.json,2021-12-14 00:00:02.047,2021-12-13 00:00:01.999,com.sec.android.app.shealth,102,6610,1.4215424,5079.893,329.66724,wQNR8pXUUr,com.sec.android.app.shealth,dd14c467-43a4-4cce-9f79-6d42ac419ac9,1639267200000,
5300603b-a82e-45d5-b78b-c3dd51bd1013.binning_data.json,2021-12-14 09:36:25.958,2021-12-13 01:14:00.838,com.sec.android.app.shealth,-2,8089,1.5232867,6324.496,384.99274,VfS0qUERdZ,com.sec.android.app.shealth,5300603b-a82e-45d5-b78b-c3dd51bd1013,1639353600000,
8fa0f0c8-c185-48b1-a135-7dd4e6f968af.binning_data.json,2021-12-14 00:00:01.042,2021-12-14 00:00:01.042,com.sec.android.app.shealth,0,5708,1.5785092,4540.699,266.09692,PuK0nF5N0H,com.sec.android.app.shealth,8fa0f0c8-c185-48b1-a135-7dd4e6f968af,1639353600000,
64ebc0dd-795e-4838-bed0-e94200ebf051.binning_data.json,2021-12-15 00:00:02.275,2021-12-14 00:00:02.040,com.sec.android.app.shealth,102,7872,1.493839,6091.47,384.22,wQNR8pXUUr,com.sec.android.app.shealth,64ebc0dd-795e-4838-bed0-e94200ebf051,1639353600000,
5892f9dd-10ad-447f-a0b5-e62b2cf76413.binning_data.json,2021-12-14 22:56:36.705,2021-12-14 01:00:48.511,com.sec.android.app.shealth,-2,12329,1.4789925,9557.527,591.9669,VfS0qUERdZ,com.sec.android.app.shealth,5892f9dd-10ad-447f-a0b5-e62b2cf76413,1639440000000,
0aa9e976-0ed2-452d-9cdd-30be4f9ddc80.binning_data.json,2021-12-15 00:00:00.959,2021-12-15 00:00:00.959,com.sec.android.app.shealth,0,6188,1.5324316,4870.8076,288.48758,PuK0nF5N0H,com.sec.android.app.shealth,0aa9e976-0ed2-452d-9cdd-30be4f9ddc80,1639440000000,
2a60f6c4-3623-4653-af1e-36783ae28ca2.binning_data.json,2021-12-15 00:00:02.328,2021-12-15 00:00:02.328,com.sec.android.app.shealth,102,11978,1.4564159,9231.094,586.46906,wQNR8pXUUr,com.sec.android.app.shealth,2a60f6c4-3623-4653-af1e-36783ae28ca2,1639440000000,
